fon_kodu,unvan,risk_seviyesi,yonetim_ucreti,pys,kategori,fon_buyuklugu,yatirimci_sayisi
KEA,KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.347,KATILIM EMEKLİLİK VE HAYAT A.Ş,Katılım Katkı Fonu,10606754916,1138059
KEK,KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,4,1,KATILIM EMEKLİLİK VE HAYAT A.Ş,Değişken Fon,675640382,36752
KEY,KATILIM EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.49,KATILIM EMEKLİLİK VE HAYAT A.Ş,Başlangıç Katılım Fonu,397554967,146037
KOE,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KOÇ HOLDİNG EMEKLİ VAKFI BİRİNCİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,3,0.4,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Değişken Fon,3931004151,47956
MHA,METLİFE EMEKLİLİK VE HAYAT A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.347,METLİFE EMEKLİLİK VE HAYAT A.Ş.,Katılım Katkı Fonu,83617856,104393
MHB,METLİFE EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1,0.85,METLİFE EMEKLİLİK VE HAYAT A.Ş.,Başlangıç Fonu,143333260,24582
MHC,METLİFE EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.85,METLİFE EMEKLİLİK VE HAYAT A.Ş.,Başlangıç Katılım Fonu,212870624,78274
MHG,METLİFE EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,3,1,METLİFE EMEKLİLİK VE HAYAT A.Ş.,Borçlanma Araçları Fonu,293992420,8417
MHL,METLİFE EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI  EMEKLİLİK YATIRIM FONU,2,1.02,METLİFE EMEKLİLİK VE HAYAT A.Ş.,Para Piyasası Fonu,2686388173,43924
MHT,METLİFE EMEKLİLİK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.347,METLİFE EMEKLİLİK VE HAYAT A.Ş.,Devlet Katkısı Fonu,4226988047,384466
MHY,METLİFE EMEKLİLİK VE HAYAT A.Ş. DENGELİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,4,1,METLİFE EMEKLİLİK VE HAYAT A.Ş.,Değişken Fon,377003352,8878
NHB,NN HAYAT VE EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,28972534,39420
NHC,NN HAYAT VE EMEKLİLİK A.Ş OKS AGRESİF KATILIM DEGİŞKEN EMEKLİLİK YATIRIM FONU,5,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,11540170,827
NHF,NN HAYAT VE EMEKLİLİK A.Ş OKS TEMKİNLİ DEGİŞKEN EMEKLİLİK YATIRIM FONU,2,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,3031228,543
NHG,NN HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEGİŞKEN EMEKLİLİK YATIRIM FONU,5,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,20149649,1249
NHH,NN HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEGİŞKEN EMEKLİLİK YATIRIM FONU,4,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,7070049,610
NHI,NN HAYAT VE EMEKLİLİK A.Ş. OKS DENGELi DEGiŞKEN EMEKLiLiK YATIRIM FONU,4,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,5138628,666
NHK,NN HAYAT VE EMEKLİLİK A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,14368669,20991
